CPID,area_prot_lvl
470169603,1
900168482,1
920168678,1
400169693,1
480169604,1
870168673,1
320168618,1
840168670,1
420168725,1
190169090,1
300168616,1
280168614,1
950168681,1
890168675,1
610506401,1
870168576,1
120171993,1
860168672,1
850168671,1
460169602,1
640168844,1
130171994,1
171981,1
770168954,1
710169724,1
220168899,1
490169605,1
50171986,1
370168623,1
880168674,1
190169381,1
940168680,1
650168748,1
220169578,1
790168762,1
820168668,1
830577815,1
470168633,1
690169334,1
710168657,1
390168722,1
820168959,1
590168645,1
830168960,1
760168856,1
560168836,1
720168852,1
180169089,1
950168584,1
600168646,1
350169397,1
930518946,1
168586,1
910168677,1
740168854,1
140171995,1
300169392,1
180169477,1
840168767,1
160168602,1
880169644,1
180169574,1
400168529,1
760168759,1
320168521,1
50523320,1
10168684,1
80168497,1
40169754,1
200168509,1
210168898,1
140169279,1
220168802,1
200169382,1
910169647,1
590168936,1
30168686,1
480168731,1
890169645,1
168780,1
620168745,1
600168743,1
740168466,1
540168640,1
330168522,1
20547761,1
590168742,1
490168732,1
100168596,1
880169353,1
580168741,1
10171982,1
560168933,1
240168610,1
810168667,1
330169589,1
290168712,1
340169590,1
410168918,1
730168853,1
350169591,1
120168598,1
40168590,1
240169289,1
280168808,1
940169650,1
30168492,1
820169638,1
110168597,1
630168843,1
10168878,1
550168738,1
260168806,1
620168939,1
780168955,1
660169525,1
220168608,1
790169635,1
630168940,1
700168656,1
440169697,1
850168768,1
300169586,1
120168501,1
130168696,1
180168604,1
90168692,1
230168803,1
190168605,1
290168615,1
590506399,1
60168592,1
870169643,1
80168594,1
530168639,1
410168627,1
680169527,1
860168478,1
70168690,1
260169582,1
310168617,1
250168514,1
440168921,1
10168587,1
150169280,1
50168591,1
570168740,1
320169588,1
230169288,1
810168958,1
40168687,1
610168647,1
510168928,1
560168642,1
620169327,1
150168504,1
100168693,1
950169748,1
900169646,1
340169396,1
640168941,1
490168635,1
450169310,1
310539060,1
430169308,1
720168658,1
780168761,1
320169200,1
240168901,1
690168946,1
150168892,1
260169776,1
250168902,1
100169663,1
840169640,1
720168755,1
220169675,1
310550215,1
200168897,1
370169399,1
30171984,1
940168874,1
680168848,1
20168685,1
260168709,1
250169193,1
630168649,1
40169366,1
900168870,1
260168515,1
20168588,1
800168472,1
200169576,1
90168595,1
400168626,1
540168737,1
460169311,1
250168805,1
180168895,1
930168873,1
520168638,1
740169727,1
30168589,1
760168953,1
890169160,1
300169683,1
470169700,1
420169695,1
360169592,1
400168723,1
320168812,1
210168607,1
390168625,1
540168834,1
680169333,1
570555770,1
470168827,1
430169696,1
330169686,1
250168708,1
320168715,1
800168666,1
230169676,1
660168846,1
880168771,1
790168956,1
310168908,1
530168833,1
640168650,1
320169685,1
890168869,1
670169526,1
100169469,1
680168945,1
310169102,1
570506397,1
720169822,1
310168520,1
160168893,1
60168689,1
310169587,1
690168655,1
290168809,1
260169388,1
150169668,1
190168799,1
740168660,1
780169634,1
830168572,1
170169282,1
600168937,1
168877,1
750168855,1
370169690,1
740168757,1
840577816,1
520169317,1
280169196,1
430168532,1
930169358,1
860168769,1
500168830,1
210169674,1
470528018,1
270168807,1
890168772,1
900168579,1
570168837,1
660168749,1
520168832,1
300168907,1
730168659,1
930169455,1
730168950,1
410168821,1
170168894,1
960168876,1
760168565,1
500168733,1
730168465,1
630169813,1
850168865,1
910168774,1
240168707,1
230169191,1
870168770,1
880169159,1
680169818,1
20171983,1
440169309,1
280169681,1
80168885,1
710168851,1
800168957,1
510168831,1
420168531,1
70168593,1
190168896,1
500168927,1
330168910,1
850168477,1
150168601,1
580506398,1
500168636,1
880168868,1
550555768,1
70169660,1
40169463,1
960169458,1
420168822,1
270169292,1
780169246,1
660168943,1
240168804,1
570168934,1
290168906,1
770169245,1
770168566,1
800169248,1
730169338,1
740168951,1
910169453,1
870169255,1
570169225,1
350168524,1
110169373,1
330168813,1
950169651,1
610168841,1
200168606,1
30169365,1
290169391,1
540168931,1
920169357,1
910168580,1
120169374,1
430168920,1
30169462,1
96065009,1
40168493,1
240169483,1
200169673,1
840169349,1
210168801,1
770168857,1
40171985,1
380169303,1
710168560,1
100169275,1
930168485,1
930169261,1
870168867,1
510169316,1
600169810,1
90169274,1
670168944,1
950169457,1
200169285,1
730168562,1
950169263,1
840168573,1
400532861,1
950168487,1
780168567,1
30169268,1
460168826,1
110169664,1
96095195,1
80169661,1
280168905,1
650169815,1
920168484,1
96133158,1
730168756,1
270169486,1
850169253,1
190169672,1
110169470,1
820168474,1
250169484,1
560169321,1
340168814,1
710169239,1
400168820,1
96133159,1
790168665,1
350168912,1
230168706,1
600169228,1
310169393,1
820169347,1
570168643,1
270169583,1
270168613,1
190169284,1
380168624,1
810168473,1
440168630,1
430168629,1
340168911,1
750168661,1
910168483,1
140168503,1
600506400,1
330169492,1
830169348,1
610169811,1
790169344,1
770168760,1
760169244,1
230169482,1
20169461,1
60169271,1
600169519,1
920168581,1
280168517,1
70169369,1
530169512,1
650168651,1
270168710,1
130169763,1
280536535,1
410169694,1
700169820,1
770169730,1
940169262,1
650168845,1
60169465,1
250169290,1
880169741,1
340169202,1
510168734,1
80169370,1
960168488,1
140168600,1
800169733,1
620168842,1
60171987,1
540169222,1
290169488,1
90169662,1
550169320,1
330169201,1
390168819,1
800169345,1
350169203,1
270168516,1
160169669,1
830168766,1
320169297,1
710169821,1
930168582,1
850168574,1
740168563,1
580168838,1
320169103,1
320168909,1
220168705,1
90169468,1
490168829,1
290169197,1
780168664,1
200168800,1
530169318,1
610168938,1
370169302,1
530168736,1
830168475,1
450169698,1
20169364,1
870169158,1
400169305,1
500169509,1
340168523,1
180168798,1
480168828,1
130169375,1
260168612,1
670169332,1
810169249,1
170168506,1
960169361,1
930168679,1
150169377,1
190169478,1
560168739,1
580168935,1
570169322,1
640169523,1
290169682,1
350168815,1
550169223,1
950168875,1
20169267,1
390549641,1
170168797,1
360168525,1
630169231,1
220168511,1
870169740,1
310169199,1
30169074,1
380168818,1
10168781,1
370168817,1
140169667,1
120169762,1
70169272,1
870168479,1
820509041,1
960169749,1
310169490,1
320169394,1
360168816,1
100169760,1
940168583,1
670168847,1
600168840,1
750169728,1
270169777,1
640169329,1
330168716,1
760168662,1
910518944,1
450168825,1
770169633,1
10168490,1
610169520,1
140169473,1
400169790,1
670168750,1
460528017,1
500169315,1
130168502,1
150168795,1
240168513,1
180168507,1
240169192,1
380549640,1
140169376,1
550168835,1
130169472,1
890169257,1
160168796,1
750168758,1
510561002,1
320539061,1
96065010,1
160169378,1
10169363,1
100168499,1
900168773,1
360168913,1
50168494,1
750168952,1
310169296,1
810169346,1
180169380,1
180169283,1
920169260,1
530169221,1
220169287,1
770169342,1
320169491,1
290169294,1
40168881,1
560169224,1
390169304,1
790169732,1
560552083,1
620169812,1
370168914,1
160168505,1
930169164,1
120169471,1
20168491,1
920169163,1
530544514,1
130169278,1
720169337,1
520544513,1
180169671,1
480169313,1
30547762,1
520168735,1
580169808,1
640169814,1
420168628,1
580169226,1
250168611,1
60168883,1
150169765,1
170169670,1
520169511,1
169362,1
960168585,1
160169475,1
940169359,1
870169352,1
210168510,1
270168904,1
96073052,1
260169485,1
880168480,1
110169276,1
110168500,1
170169379,1
410168530,1
70168884,1
550168641,1
750169825,1
430507547,1
920169454,1
480168634,1
50168882,1
920518945,1
96073051,1
430168823,1
330169395,1
300168810,1
170168603,1
60169756,1
770168663,1
590169324,1
80169467,1
360169398,1
80171989,1
250169581,1
280169293,1
590169227,1
210169286,1
650169330,1
40169269,1
810169637,1
900169258,1
650169524,1
169265,1
10169266,1
260169291,1
300169489,1
190168508,1
330169298,1
80169273,1
120169277,1
690169528,1
820169541,1
560169515,1
96119245,1
180555828,1
130168599,1
580169517,1
760169632,1
