SPEED_LIMIT,TYPE_DESCRIPTION,SURFACE_DESCRIPTION,xid,f0_elv,f0_scale
30,Road local,paved,1,0,91.97215024
30,Road local,loose,2,0,21.66863189
50,Road local,paved,3,0,105.0702974
30,Road local,paved,4,0,235.4030409
50,Road local,paved,5,0,176.6208847
50,Road local,paved,6,0,75.79502041
50,Road local,paved,7,0,77.71172424
50,Road local,paved,8,0,215.0408245
50,Road collector major,paved,9,0,410.1442686
15,Road strata,paved,10,0,47.93015752
15,Road strata,paved,11,0,24.47386361
15,Road strata,paved,12,0,61.90217801
15,Road strata,paved,13,0,26.03825617
15,Road strata,paved,14,0,26.07680962
15,Road strata,paved,15,0,55.04399099
50,Road local,paved,16,0,134.136075
50,Road local,paved,17,0,137.0298975
50,Road local,paved,18,0,173.311261
50,Road local,paved,19,0,179.7916461
50,Road local,paved,20,0,77.33386204
50,Road local,paved,21,0,68.16604727
50,Road local,paved,22,0,58.58186601
50,Road local,paved,23,0,78.50746121
50,Road local,paved,24,0,243.3616676
50,Road local,paved,25,0,244.922734
50,Road local,paved,26,0,245.8029394
50,Road local,paved,27,0,57.92751009
50,Road local,paved,28,0,102.4097418
30,Road local,paved,29,0,154.4901583
50,Road local,paved,30,0,210.0891291
50,Road local,paved,31,0,209.9343688
50,Road local,paved,32,0,100.1990001
50,Road local,paved,33,0,92.59054389
50,Road local,paved,34,0,212.6464226
50,Road local,paved,35,0,211.5659664
50,Road local,paved,36,0,210.4108344
50,Road local,paved,37,0,100.8117027
50,Road local,paved,38,0,241.9737028
50,Road local,paved,39,0,109.233548
50,Road local,paved,40,0,241.9642061
50,Road local,paved,41,0,189.1848541
50,Road local,paved,42,0,264.884892
50,Road local,paved,43,0,86.26294144
50,Road local,paved,44,0,106.3836002
50,Road local,paved,45,0,265.4147351
50,Road local,paved,46,0,98.61193957
50,Road local,paved,47,0,68.63876044
50,Road local,paved,48,0,101.1039099
50,Road local,paved,49,0,215.7324313
50,Road local,paved,50,0,204.7850904
50,Road local,paved,51,0,91.11328857
50,Road local,paved,52,0,83.60559178
50,Road local,paved,53,0,97.59228671
50,Road local,paved,54,0,264.5348049
50,Road local,paved,55,0,102.5133904
50,Road local,paved,56,0,59.78247116
50,Road local,paved,57,0,44.741634
50,Road local,paved,58,0,261.9115691
50,Road local,paved,59,0,263.2384395
50,Road collector major,paved,60,0,55.10302369
50,Road arterial major,paved,61,0,177.8133256
50,Road local,paved,62,0,165.499935
50,Road local,paved,63,0,132.3926275
50,Road local,paved,64,0,43.73771838
50,Road local,paved,65,0,66.67513739
50,Road local,paved,66,0,42.83131099
50,Road local,paved,67,0,43.46248963
50,Road local,paved,68,0,78.5873375
50,Road collector major,paved,69,0,31.03808991
50,Road local,paved,70,0,1607.339446
50,Road collector major,paved,71,0,382.3169935
20,Road strata,paved,72,0,137.3002595
50,Road local,paved,73,0,33.65435937
50,Road collector major,paved,74,0,211.5439187
50,Road local,paved,75,0,31.86963886
50,Road local,paved,76,0,393.8630988
20,Road strata,paved,77,0,285.3203385
50,Road local,paved,78,0,83.65749258
50,Road local,paved,79,0,170.7448225
50,Road local,paved,80,0,87.06994784
50,Road local,paved,81,0,188.7938396
50,Road local,paved,82,0,118.5320087
50,Road local,paved,83,0,291.3284671
50,Road local,paved,84,0,94.56509823
50,Road local,paved,85,0,451.186887
50,Road collector major,paved,86,0,330.9458039
50,Road collector major,paved,87,0,449.2693144
50,Road collector major,paved,88,0,206.7169058
50,Road local,paved,89,0,98.1968303
50,Road local,paved,90,0,73.40228787
50,Road local,paved,91,0,140.8353794
50,Road local,paved,92,0,24.91162389
50,Road collector major,paved,93,0,185.3233574
50,Road local,paved,94,0,80.35770532
50,Road local,paved,95,0,9.327595295
50,Road local,paved,96,0,174.0394312
50,Road local,paved,97,0,48.06300732
50,Road local,paved,98,0,166.5522573
50,Road local,paved,99,0,22.4642967
50,Road local,paved,100,0,109.8646114
50,Road local,paved,101,0,298.6551662
50,Road local,paved,102,0,65.33865307
50,Road local,paved,103,0,47.06305613
50,Road local,paved,104,0,480.3601614
50,Road local,paved,105,0,68.37752184
50,Road local,paved,106,0,70.74145751
50,Road local,paved,107,0,238.2673971
50,Road local,paved,108,0,169.3895849
50,Road local,paved,109,0,354.2626363
20,Road strata,paved,110,0,74.06091187
60,Road arterial minor,paved,111,0,238.010381
60,Road arterial minor,paved,112,0,416.8927024
50,Road local,paved,113,0,534.3188631
50,Road local,paved,114,0,238.3735738
50,Road local,paved,115,0,190.8482822
50,Road local,paved,116,0,110.6526295
50,Road local,paved,117,0,272.5950859
50,Road local,paved,118,0,153.4664089
50,Road local,paved,119,0,350.4235598
50,Road local,loose,120,0,66.25141508
50,Road local,loose,121,0,144.3010742
20,Road strata,paved,122,0,67.09664671
60,Road local,paved,123,0,125.0734307
60,Road arterial minor,paved,124,0,96.82598025
60,Road arterial minor,paved,125,0,133.5308427
50,Road local,paved,126,0,160.9127301
50,Road local,paved,127,0,32.47025021
20,Road strata,paved,128,0,61.70508597
50,Road local,paved,129,0,78.06690633
50,Road local,paved,130,0,33.10850649
50,Road local,paved,131,0,141.3320006
60,Road arterial major,paved,132,0,559.2477378
50,Road local,paved,133,0,154.3123427
50,Road local,paved,134,0,115.8957673
50,Road local,paved,135,0,169.9421827
50,Road local,paved,136,0,116.99071
60,Road arterial major,paved,137,0,229.4076418
50,Road local,paved,138,0,388.1797238
50,Road local,paved,139,0,200.9491279
50,Road local,paved,140,0,73.67376473
50,Road local,loose,141,0,164.9878656
50,Road local,paved,142,0,80.2809754
50,Road local,paved,143,0,44.18506119
50,Road local,paved,144,0,92.16806948
50,Road local,paved,145,0,100.6665139
50,Road local,paved,146,0,69.96801201
50,Road local,paved,147,0,89.64521407
50,Road local,paved,148,0,83.5121766
50,Road local,paved,149,0,270.4342641
50,Road local,paved,150,0,84.46365288
50,Road local,paved,151,0,85.23467901
50,Road local,paved,152,0,138.8959143
50,Road local,paved,153,0,241.598637
50,Road local,paved,154,0,97.78512773
50,Road collector major,paved,155,0,161.0160818
50,Road local,paved,156,0,236.3173072
30,Road local,paved,157,0,111.6955631
50,Road arterial major,paved,158,0,132.6250446
50,Road arterial major,paved,159,0,204.8688675
50,Road local,paved,160,0,85.63540516
50,Road local,paved,161,0,339.4890043
50,Road local,paved,162,0,125.7755795
30,Road local,paved,163,0,156.0981538
50,Road local,paved,164,0,135.714012
50,Road local,paved,165,0,108.8373714
50,Road local,paved,166,0,35.22652462
50,Road local,paved,167,0,109.5522122
50,Road local,paved,168,0,19.05542487
50,Road local,paved,169,0,180.576135
50,Road local,paved,170,0,340.636415
50,Road local,paved,171,0,434.4362717
50,Road collector major,paved,172,0,143.8962099
50,Road arterial major,paved,173,0,48.98255021
30,Road local,paved,174,0,285.91213
50,Road local,paved,175,0,95.24411166
50,Road local,paved,176,0,224.2563893
50,Road local,paved,177,0,295.1211412
30,Road local,paved,178,0,490.8489208
50,Road local,paved,179,0,45.0616845
50,Road arterial major,paved,180,0,28.8670036
60,Road collector major,paved,181,0,1222.175466
50,Road local,paved,182,0,103.3097016
50,Road local,paved,183,0,136.1354114
50,Road local,paved,184,0,115.4060128
50,Road local,paved,185,0,212.9359698
30,Road local,paved,186,0,325.8104341
50,Road arterial major,paved,187,0,28.59380774
50,Road arterial major,paved,188,0,119.2161273
50,Road local,paved,189,0,218.1387064
50,Road local,paved,190,0,107.3482658
50,Road local,paved,191,0,212.417409
50,Road local,paved,192,0,86.63401989
50,Road local,paved,193,0,77.43474943
50,Road local,paved,194,0,174.345685
50,Road local,paved,195,0,105.3832417
50,Road local,paved,196,0,171.0057105
50,Road collector major,paved,197,0,222.8535296
30,Road local,paved,198,0,192.8978869
50,Road local,paved,199,0,321.9829241
50,Road arterial major,paved,200,0,141.1496036
50,Road local,paved,201,0,453.8115834
50,Road local,paved,202,0,390.8550588
50,Road arterial major,paved,203,0,173.1743533
50,Road local,paved,204,0,124.128941
50,Road arterial major,paved,205,0,118.9612947
50,Road local,paved,206,0,669.292421
50,Road arterial major,paved,207,0,130.567137
30,Road local,paved,208,0,135.2549741
50,Road local,paved,209,0,160.6773694
50,Road local,paved,210,0,74.66247362
20,Road strata,paved,211,0,36.15153143
20,Road strata,paved,212,0,22.92202609
50,Road local,paved,213,0,23.15268697
50,Road arterial minor,paved,214,0,703.2278677
50,Road arterial minor,paved,215,0,82.63929342
50,Road local,paved,216,0,198.5956263
50,Road local,paved,217,0,549.1073503
50,Road local,paved,218,0,64.23809154
50,Road local,paved,219,0,113.3901168
50,Road local,paved,220,0,194.5023968
50,Road local,paved,221,0,127.8474598
50,Road local,paved,222,0,87.17891971
50,Road local,paved,223,0,82.97643174
50,Road local,paved,224,0,58.60343002
50,Road local,paved,225,0,282.9315879
50,Road local,paved,226,0,106.0972969
50,Road local,paved,227,0,135.7930941
50,Road local,paved,228,0,99.48679139
50,Road local,paved,229,0,47.343724
50,Road local,paved,230,0,74.86728667
50,Road local,paved,231,0,242.8705495
50,Road local,paved,232,0,138.7609529
50,Road local,paved,233,0,156.3833495
50,Road collector major,paved,234,0,88.86636268
50,Road local,paved,235,0,91.5954355
50,Road local,paved,236,0,156.8191853
50,Road collector major,paved,237,0,79.22650103
50,Road local,paved,238,0,76.59949095
50,Road local,paved,239,0,250.2067781
50,Road collector major,paved,240,0,315.6011992
50,Road local,paved,241,0,241.7421258
50,Road local,paved,242,0,195.5727989
50,Road local,paved,243,0,33.83279512
50,Road local,paved,244,0,132.5176442
50,Road local,paved,245,0,41.48084579
50,Road local,paved,246,0,98.6784552
50,Road local,paved,247,0,90.97773574
50,Road collector major,paved,248,0,57.66595536
50,Road local,paved,249,0,127.4515996
50,Road collector major,paved,250,0,98.30041012
50,Road collector major,paved,251,0,136.6849036
50,Road local,paved,252,0,37.24481222
50,Road local,paved,253,0,231.5966736
50,Road local,paved,254,0,186.8268913
50,Road collector major,paved,255,0,56.82819196
50,Road collector major,paved,256,0,22.94257198
50,Road local,paved,257,0,25.23056499
15,Road strata,paved,258,0,58.86195715
15,Road strata,paved,259,0,20.3061567
15,Road strata,paved,260,0,13.00346108
15,Road strata,paved,261,0,48.81167893
15,Road strata,paved,262,0,48.84096641
15,Road strata,paved,263,0,21.51139233
15,Road strata,paved,264,0,36.05010402
50,Road local,paved,265,0,35.1610071
15,Road strata,paved,266,0,35.54560451
50,Road local,paved,267,0,82.97563877
50,Road local,paved,268,0,120.0107037
50,Road local,paved,269,0,35.55457817
50,Road local,paved,270,0,92.72513436
50,Road local,paved,271,0,15.72036895
50,Road local,paved,272,0,69.43414325
50,Road local,paved,273,0,274.0219921
50,Road local,paved,274,0,217.1472916
50,Road local,paved,275,0,157.154664
50,Road collector major,paved,276,0,124.3547072
50,Road collector major,paved,277,0,92.76954794
50,Road local,paved,278,0,181.021543
50,Road local,paved,279,0,400.5233094
50,Road local,paved,280,0,81.1454996
50,Road local,paved,281,0,26.34095082
50,Road local,paved,282,0,99.19894165
50,Road local,paved,283,0,301.5114094
50,Road local,paved,284,0,118.0315989
50,Road local,paved,285,0,115.507
50,Road local,paved,286,0,69.7003589
50,Road local,paved,287,0,77.33938455
50,Road collector major,paved,288,0,271.8500518
30,Road local,paved,289,0,193.7274989
60,Road collector major,paved,290,0,487.6939155
60,Road collector major,paved,291,0,330.3301858
60,Road collector major,paved,292,0,49.13423455
30,Road collector major,paved,293,0,273.5463351
60,Road collector major,paved,294,0,163.0989823
50,Road local,paved,295,0,492.7480092
50,Road local,paved,296,0,523.9999527
50,Road local,paved,297,0,111.5710554
50,Road local,paved,298,0,343.6110002
50,Road local,paved,299,0,307.6816917
50,Road local,paved,300,0,98.96445932
50,Road collector major,paved,301,0,55.86196219
50,Road collector major,paved,302,0,112.322763
50,Road local,paved,303,0,179.7157768
50,Road local,paved,304,0,105.8194539
50,Road collector major,paved,305,0,104.6782684
50,Road local,paved,306,0,177.5635915
50,Road local,paved,307,0,399.2153121
50,Road local,paved,308,0,418.3568482
50,Road local,paved,309,0,47.12316229
50,Road local,paved,310,0,106.4243657
50,Road collector major,paved,311,0,116.6395818
50,Road collector major,paved,312,0,60.67324803
50,Road local,paved,313,0,116.2706155
50,Road local,paved,314,0,91.54837958
50,Road local,paved,315,0,93.58965548
50,Road local,paved,316,0,99.87620187
50,Road local,paved,317,0,44.59642431
50,Road local,paved,318,0,205.380744
50,Road local,paved,319,0,22.04336816
50,Road local,paved,320,0,205.6062061
50,Road arterial major,paved,321,0,240.0531191
50,Road local,paved,322,0,68.73631216
50,Road local,paved,323,0,133.9638072
50,Road local,paved,324,0,127.6852522
50,Road local,paved,325,0,95.48586272
50,Road local,paved,326,0,48.57470792
50,Road local,paved,327,0,45.98140113
50,Road local,paved,328,0,66.26526156
50,Road local,paved,329,0,223.564636
50,Road local,paved,330,0,98.46514736
50,Road local,paved,331,0,97.89964767
50,Road local,paved,332,0,210.8150537
50,Road arterial major,paved,333,0,37.27475889
50,Road local,paved,334,0,99.04380045
50,Road arterial major,paved,335,0,252.2289893
50,Road local,paved,336,0,86.65597965
50,Road local,paved,337,0,210.9065269
50,Road local,paved,338,0,93.43168664
50,Road local,paved,339,0,66.22424073
50,Road local,paved,340,0,220.4729019
50,Road arterial major,paved,341,0,179.3230103
50,Road local,paved,342,0,132.3049962
50,Road local,paved,343,0,142.1657513
30,Road local,paved,344,0,142.8431814
50,Road local,paved,345,0,47.75326189
50,Road local,paved,346,0,60.25889984
50,Road local,paved,347,0,99.53818389
50,Road local,paved,348,0,71.61023688
50,Road collector major,paved,349,0,83.33347593
50,Road local,paved,350,0,69.00948956
50,Road local,paved,351,0,139.7655404
50,Road local,paved,352,0,90.47111279
50,Road local,paved,353,0,138.4339308
50,Road local,paved,354,0,139.617491
50,Road local,paved,355,0,91.31355883
30,Road local,paved,356,0,94.45417958
50,Road local,paved,357,0,77.31869114
50,Road local,paved,358,0,131.1121917
50,Road local,paved,359,0,32.82042322
50,Road local,paved,360,0,162.1147792
50,Road local,paved,361,0,93.88270355
50,Road local,paved,362,0,184.4299446
50,Road local,paved,363,0,140.161036
50,Road local,paved,364,0,85.96908752
50,Road local,paved,365,0,250.7433907
50,Road local,paved,366,0,68.68445248
50,Road local,paved,367,0,134.2696042
50,Road local,paved,368,0,67.28054263
50,Road local,paved,369,0,101.4355411
50,Road local,paved,370,0,92.29885817
50,Road local,paved,371,0,75.99268318
50,Road local,paved,372,0,92.97410976
50,Road local,paved,373,0,93.31884597
50,Road collector major,paved,374,0,99.64305296
50,Road collector major,paved,375,0,98.8544693
50,Road local,paved,376,0,159.0810335
50,Road local,paved,377,0,150.1698846
50,Road local,paved,378,0,60.54998018
50,Road local,paved,379,0,199.247366
50,Road local,paved,380,0,139.7492307
50,Road local,paved,381,0,134.7736829
50,Road collector major,paved,382,0,47.57177563
50,Road local,paved,383,0,134.2405999
50,Road local,paved,384,0,75.85192987
50,Road local,paved,385,0,60.72324962
50,Road arterial major,paved,386,0,76.25982918
50,Road local,paved,387,0,94.5341634
50,Road arterial major,paved,388,0,105.0426964
50,Road local,paved,389,0,36.16018563
50,Road collector major,paved,390,0,14.9329246
50,Road local,paved,391,0,107.0964728
50,Road local,paved,392,0,52.69815011
50,Road local,paved,393,0,9.812737488
50,Road local,paved,394,0,107.2036231
50,Road collector major,paved,395,0,153.7687004
50,Road collector major,paved,396,0,104.034326
50,Road local,paved,397,0,97.61540667
50,Road local,paved,398,0,58.66650166
50,Road local,paved,399,0,255.3476534
50,Road local,paved,400,0,243.9759612
50,Road local,paved,401,0,347.5169904
50,Road collector major,paved,402,0,100.7457077
50,Road local,paved,403,0,347.4392858
50,Road collector major,paved,404,0,103.3314644
50,Road local,paved,405,0,270.4119839
50,Road collector major,paved,406,0,9.609912226
50,Road collector major,paved,407,0,64.04758641
50,Road collector major,paved,408,0,337.5910202
30,Road local,paved,409,0,292.2169433
50,Road local,paved,410,0,89.06816161
50,Road local,paved,411,0,244.9768359
50,Road local,paved,412,0,254.1784165
50,Road local,paved,413,0,51.39453117
50,Road local,paved,414,0,40.05174287
50,Road collector major,paved,415,0,140.506975
50,Road local,paved,416,0,54.28279662
50,Road local,paved,417,0,57.42916856
50,Road local,paved,418,0,127.4758293
50,Road local,paved,419,0,258.5368682
50,Road local,paved,420,0,122.3497856
50,Road collector major,paved,421,0,54.44212988
50,Road collector major,paved,422,0,462.3137405
50,Road collector major,paved,423,0,207.9850367
50,Road collector major,paved,424,0,344.8831861
30,Road local,paved,425,0,266.4186199
50,Road local,paved,426,0,77.6246033
50,Road local,paved,427,0,461.5269549
50,Road local,paved,428,0,366.3408559
50,Road local,paved,429,0,163.6887757
50,Road collector major,paved,430,0,16.53150414
50,Road local,paved,431,0,132.7387716
50,Road collector major,paved,432,0,110.5656903
50,Road collector major,paved,433,0,63.70357619
50,Road local,paved,434,0,131.5607632
50,Road local,paved,435,0,174.7251207
50,Road local,paved,436,0,90.11617525
50,Road local,paved,437,0,176.8129266
50,Road local,paved,438,0,91.94810059
50,Road local,paved,439,0,13.42098405
50,Road local,paved,440,0,327.4417827
50,Road local,paved,441,0,95.86778089
50,Road local,paved,442,0,269.9424217
50,Road local,paved,443,0,89.80405337
50,Road local,paved,444,0,219.7721712
50,Road local,paved,445,0,84.4457217
50,Road local,paved,446,0,89.21451921
50,Road local,paved,447,0,90.07946506
50,Road local,paved,448,0,57.91300028
50,Road local,paved,449,0,51.10591372
50,Road local,paved,450,0,145.1767006
50,Road local,paved,451,0,177.4184867
50,Road local,paved,452,0,86.14610847
50,Road local,paved,453,0,89.49314737
50,Road local,paved,454,0,56.09708906
50,Road local,paved,455,0,162.3823076
50,Road local,paved,456,0,44.76103234
50,Road local,paved,457,0,49.1969818
50,Road local,paved,458,0,138.3490891
50,Road local,paved,459,0,97.26142229
50,Road local,paved,460,0,29.95969714
50,Road local,paved,461,0,101.5123471
50,Road local,paved,462,0,167.9287569
50,Road local,paved,463,0,91.20522364
50,Road local,paved,464,0,174.3830772
50,Road local,paved,465,0,217.8086185
50,Road local,paved,466,0,138.7945994
50,Road local,paved,467,0,79.22974197
50,Road local,paved,468,0,101.5631511
50,Road local,paved,469,0,138.7909183
50,Road local,paved,470,0,92.97549805
50,Road collector major,paved,471,0,59.2820077
50,Road local,paved,472,0,34.00618867
50,Road local,paved,473,0,75.76607432
50,Road local,paved,474,0,134.2700511
50,Road collector major,paved,475,0,72.10026788
50,Road collector major,paved,476,0,30.05382468
50,Road local,paved,477,0,57.64527576
50,Road local,paved,478,0,197.5950907
50,Road local,paved,479,0,198.780824
50,Road collector major,paved,480,0,61.28176248
50,Road collector major,paved,481,0,102.7657472
50,Road local,paved,482,0,106.1563227
50,Road local,paved,483,0,160.5870831
30,Road local,paved,484,0,34.5307343
30,Road local,paved,485,0,72.92197376
50,Road local,paved,486,0,166.3259306
50,Road local,paved,487,0,165.1852124
50,Road local,paved,488,0,221.3132669
50,Road local,paved,489,0,103.1512681
50,Road local,paved,490,0,100.7794126
50,Road collector major,paved,491,0,127.4963624
50,Road local,paved,492,0,89.12356844
50,Road local,paved,493,0,88.13505575
50,Road collector major,paved,494,0,124.8859257
50,Road local,paved,495,0,136.3058371
50,Road local,paved,496,0,47.07391215
50,Road local,paved,497,0,126.8469827
50,Road local,paved,498,0,50.78287113
50,Road local,paved,499,0,37.65931792
50,Road local,paved,500,0,150.6846856
50,Road local,paved,501,0,53.26230203
50,Road local,paved,502,0,87.73588207
50,Road local,paved,503,0,126.8654327
50,Road local,paved,504,0,127.0066095
50,Road local,paved,505,0,83.64078796
50,Road arterial major,paved,506,0,107.1710421
50,Road local,paved,507,0,103.2203953
50,Road arterial major,paved,508,0,125.5887288
50,Road local,paved,509,0,60.97215769
50,Road local,paved,510,0,117.0656809
50,Road local,paved,511,0,104.5615523
50,Road local,paved,512,0,182.7433646
50,Road local,paved,513,0,95.88000328
50,Road local,paved,514,0,62.16983675
50,Road local,paved,515,0,181.6365835
50,Road local,paved,516,0,93.99598615
50,Road local,paved,517,0,151.9161743
50,Road local,paved,518,0,124.6176392
50,Road collector major,paved,519,0,56.49204578
50,Road collector major,paved,520,0,16.13171491
50,Road arterial major,paved,521,0,92.57000612
50,Road local,paved,522,0,82.34900744
50,Road collector major,paved,523,0,91.86608964
50,Road collector major,paved,524,0,128.1154239
50,Road local,paved,525,0,200.3781402
50,Road arterial major,paved,526,0,106.900451
50,Road local,paved,527,0,251.5400038
50,Road collector major,paved,528,0,52.29799231
50,Road collector major,paved,529,0,52.18630089
50,Road collector major,paved,530,0,97.16568131
50,Road collector major,paved,531,0,106.5098775
50,Road local,paved,532,0,232.1432812
50,Road local,paved,533,0,235.4440274
50,Road local,paved,534,0,230.8332948
50,Road collector major,paved,535,0,47.69357195
50,Road collector major,paved,536,0,56.39257945
50,Road collector major,paved,537,0,50.98248916
